State,A,B,C,D,E,F,G
a,0,59,0,0,0,46,0
a,0,60,0,0,0,45,0
a,0,59,0,0,0,50,0
a,0,56,0,0,0,46,8
b,0,59,0,0,0,0,0
b,0,60,0,0,0,0,0
b,0,60,0,0,0,0,0
b,0,60,0,0,0,0,0
c,0,50,54,0,0,0,59
c,0,47,52,0,0,0,59
c,0,49,54,0,0,0,58
d,0,60,0,0,0,55,50
d,0,60,0,0,0,57,42
d,0,57,2,0,0,58,40
e,0,34,57,0,0,60,57
f,0,27,52,0,0,0,60
f,0,21,53,0,0,0,55
g,0,0,57,0,0,0,59
g,0,2,54,0,0,0,58
h,0,0,53,0,0,0,46
h,0,0,51,0,0,0,48
h,0,0,53,0,0,0,47
i,0,60,51,48,0,0,0
i,0,60,51,46,0,0,0
i,0,60,54,49,0,0,0
j,0,0,37,58,0,0,60
j,0,5,48,60,0,0,53
j,0,0,41,57,0,0,57
k,0,23,34,56,0,0,51
k,0,38,42,57,0,0,56
l,0,24,56,56,0,0,60
p,59,0,0,0,0,0,0
p,60,0,0,0,0,0,0
p,60,0,0,0,0,0,0
m,0,0,0,0,60,0,0
m,0,0,0,0,60,0,0
n,0,0,0,0,60,0,0
n,0,0,0,0,59,0,0
n,0,0,0,0,60,0,0
o,0,0,0,0,57,0,0
o,0,0,0,0,60,0,0
o,0,0,0,0,60,0,0
